Contract,Price,Year,Make&Model,Location,Miles
Sold,6500,2007,Dodge magnum Sport Wagon 4D,"Great River, NY",143000
Sold,1500,2005,Dodge magnum R/T Sport Wagon 4D,"Gifford, PA",123000
Sold,1500,2005,Dodge magnum R/T Sport Wagon 4D,"Gouldsboro, PA",131000
Sold,2500,2005,Dodge magnum R/T Sport Wagon 4D,"New Bedford, MA",111000
Sold,7500,2005,Dodge magnum R/T Sport Wagon 4D,"Waldorf, MD",87000
Sold,2000,2008,Dodge magnum Sport Wagon 4D,"Chambersburg, PA",134000
Sold,1200,2006,Dodge magnum Sport Wagon 4D,"Peach Bottom, PA",136000
Sold,2500,2007,Dodge magnum Sport Wagon 4D,"Seaford, DE",194000
Sold,4000,2008,Dodge magnum SE,"Woodbury, NJ",168000
Sold,3000,2006,Dodge magnum R/T Sport Wagon 4D,"Oakland, MD",106000
Sold,2500,2007,Dodge magnum Sport Wagon 4D,"Townsend, DE",120000
Sold,2500,2005,Dodge magnum,"Boonville, NY",168000
Sold,5000,2005,Dodge magnum R/T Sport Wagon 4D,"Limerick, ME",69000
Sold,1750,2005,Dodge magnum,"Virginia Beach, VA",200000
