Contract,Price,Year,Make&Model,Location,Miles
Sold,2800,2005,Ford escape XLT Sport SUV 4D,"Newark, NJ",138000
Sold,1999,2001,Ford escape XLT Sport Utility 4D,"Elizabeth, NJ",131000
Sold,3900,2010,Ford escape XLT Sport Utility 4D,"Paterson, NJ",159000
Sold,1500,2006,Ford escape Limited Sport Utility 4D,"Paterson, NJ",187000
Sold,2000,2005,Ford escape,"Fairfield, NJ",170000
Sold,5600,2008,Ford escape Limited Sport Utility 4D,"North Brunswick, NJ",108000
Sold,1700,2015,Ford escape SE Sport Utility 4D,"Brooklyn, NY",170000
Sold,1000,2005,Ford escape Limited Sport Utility 4D,"Massapequa, NY",222000
Sold,2200,2004,Ford escape Limited Sport Utility 4D,"Paterson, NJ",135000
Sold,3300,2005,Ford escape Limited Sport Utility 4D,"Staten Island, NY",110000
Sold,1300,2008,Ford escape,"Brooklyn, NY",213000
Sold,2100,2009,Ford escape,"Flushing, NY",139000
Sold,6995,2013,Ford escape SE Sport Utility 4D,"Garfield, NJ",116000
Sold,2800,2005,Ford escape XLS Sport Utility 4D,"Bronx, NY",147000
Sold,4950,2011,Ford escape XLT Sport Utility 4D,"Hazlet, NJ",109000
Sold,3200,2007,Ford escape XLT Sport Utility 4D,"Montclair, NJ",159000
Pending,2500,2007,Ford escape XLT Sport SUV 4D,"Basking Ridge, NJ",1500
