Contract,Price,Year,Make&Model,Location,Miles
Pending,1200,2003,Ford explorer XLT Sport Utility 4D,"Parsippany, NJ",190000
Sold,3000,2002,Ford explorer Sport Utility 4D,"Freeport, NY",85000
Sold,1100,1998,Ford explorer Sport Utility 2D,"Cedarhurst, NY",195000
Sold,2000,1999,Ford explorer Sport Utility 2D,"Brooklyn, NY",175000
Sold,3600,2001,Ford explorer xlt,"Clark, NJ",92000
Sold,4500,2004,Ford explorer XLT Sport SUV 4D,"Fort Lee, NJ",76000
Sold,1500,1999,Ford explorer,"Hempstead, NY",160000
Sold,1234,2016,Ford explorer XLT Sport Utility 4D,"Bronx, NY",11000
Sold,1600,2003,Ford explorer Eddie Bauer Sport Utility 4D,"South Amboy, NJ",203000
Sold,1800,2002,Ford explorer Sport Utility 4D,"New York, NY",220000
Sold,1150,2004,Ford explorer XLS Sport Utility 4D,"Belleville, NJ",22000
Sold,2100,2009,Ford explorer Eddie Bauer Sport Utility 4D,"Wall, NJ",158000
Sold,1800,2002,Ford explorer Sport Utility 4D,"Brooklyn, NY",230000
Sold,2800,2002,Ford explorer,"New York, NY",180000
Sold,2000,2008,Ford explorer XLT Sport Utility 4D,"Jamesburg, NJ",116000
Sold,1000,2004,Ford explorer,"Chester, NY",245000
Sold,2200,2004,Ford explorer XLT Sport SUV 4D,"Jersey City, NJ",169000
