Contract,Price,Year,Make&Model,Location,Miles
Sold,3000,2016,Ford focus SE Sedan 4D,"New York, NY",136000
Sold,2700,2010,Ford focus SES Coupe 2D,"Brooklyn, NY",140000
Sold,4500,2013,Ford focus st Hatchback 4D,"Hackettstown, NJ",106000
Sold,1500,2014,Ford focus SE Sedan 4D,"Piscataway, NJ",214000
Sold,2500,2007,Ford focus Zx4 SE,"Corona, NY",72000
Sold,1250,2012,Ford focus SEL Sedan 4D,"Deer Park, NY",199000
Sold,2600,2006,Ford focus ZX4 SE Sedan 4D,"Lynbrook, NY",72000
Sold,2900,2007,Ford focus SE Wagon 4D,"New York, NY",125000
Sold,2500,2016,Ford focus,"Elizabeth, NJ",117000
Sold,1900,2013,Ford focus SE Sedan 4D,"Flemington, NJ",149000
Sold,4200,2010,Ford focus,"Brentwood, NY",117000
Sold,6400,2014,Ford focus SE Sedan 4D,"Irvington, NJ",92000
Sold,2250,2008,Ford focus,"Bronx, NY",166000
Pending,3400,2014,Ford focus Nitido,"Newark, NJ",126000
Sold,1500,2005,Ford focus ZX4 SES Sedan 4D,"Mahwah, NJ",85000
Sold,1000,2002,Ford focus SE Sedan 4D,"Browns Mills, NJ",160000
Sold,1350,2012,Ford focus SE Hatchback 4D,"Glen Oaks, NY",101000
Sold,1750,2014,Ford focus SE Sedan 4D,"Jersey City, NJ",107000
Sold,3200,2004,Ford focus,"North Plainfield, NJ",167000
Sold,2225,2008,Ford focus SE Sedan 4D,"Brooklyn, NY",112000
Sold,1800,2010,Ford focus SE Sedan 4D,"Stamford, CT",200000
Sold,3200,2014,Ford focus SE Hatchback 4D,"Lodi, NJ",135000
Sold,5500,2015,Ford focus SE Sedan 4D,"Brooklyn, NY",80000
Sold,2800,2004,Ford focus SE Sedan 4D,"Long Branch, NJ",103000
Sold,4000,2012,Ford focus SE Sedan 4D,"Irvington, NJ",138000
Sold,2500,2011,Ford focus SE Sedan 4D,"Fresh Meadows, NY",120000
Sold,3200,2012,Ford focus S Sedan 4D,"Woodhaven, NY",145000
Pending,4300,2018,Ford focus,"Mineola, NY",67000
Sold,4400,2013,Ford focus SE Hatchback 4D,"Irvington, NJ",133000
Sold,3000,2018,Ford focus SE Hatchback 4D,"Bayville, NJ",142000
Sold,5999,2016,Ford focus Titanium,"Rutherford, NJ",131000
Sold,2200,2012,Ford focus SEL Sedan 4D,"Hazlet, NJ",190000
Sold,3700,2012,Ford focus S Sedan 4D,"Orange, NJ",131000
Sold,3000,2009,Ford focus SE Sedan 4D,"Toms River, NJ",80000
Sold,2500,2012,Ford focus,"Uniondale, NY",169000
Sold,2250,2012,Ford focus,"Brooklyn, NY",169000
Sold,4500,2012,Ford focus SE Sedan 4D,"West Hempstead, NY",129000
Sold,8000,2018,Ford focus SE Sedan 4D,"Morristown, NJ",33000
Sold,3100,2010,Ford focus SE Sedan 4D,"New York, NY",151000
Sold,3700,2014,Ford focus,"North Bergen, NJ",177000
Sold,4500,2007,Ford focus SE Sedan 4D,"Somerset, NJ",57000
Sold,6200,2017,Ford focus SE Sedan 4D,"Tenafly, NJ",150000
Sold,3999,2012,Ford focus SEL Sedan 4D,"Hasbrouck Heights, NJ",161000
Sold,3500,2014,Ford focus S Sedan 4D,"Brooklyn, NY",140000
Sold,5699,2014,Ford focus Clean title,"Bronx, NY",104000
Sold,4400,2012,Ford focus SE Sedan 4D,"Brooklyn, NY",119000
