Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,1800,2005,Honda odyssey EX-L Minivan 4D,"Paterson, NJ",160000,A
Pending,10900,2016,Honda odyssey LX Minivan 4D,"Woodland Park, NJ",102000,C
Sold,1700,2002,Honda odyssey,"North Plainfield, NJ",227000,A
Sold,1800,2008,Honda odyssey EX Minivan 4D,"Paterson, NJ",166000,A
Sold,13500,2016,Honda odyssey EX-L Minivan 4D,"Bronx, NY",77000,C
Sold,2200,2007,Honda odyssey EX-L Minivan 4D,"South Plainfield, NJ",222000,A
Sold,2000,2009,Honda odyssey EX Minivan 4D,"Paterson, NJ",200000,A
Sold,2000,2000,Honda odyssey EX Minivan 4D,"Stamford, CT",140000,A
Sold,3000,2009,Honda odyssey,"Linden, NJ",204000,A
Sold,3500,2007,Honda odyssey EX-L Minivan 4D,"Kearny, NJ",152000,A
Sold,2650,2007,Honda odyssey EX-L Minivan 4D,"Island Park, NY",240000,A
Sold,6500,2009,Honda odyssey EX-L Minivan 4D,"New York, NY",125000,B
Sold,5500,2007,Honda odyssey,"Berkeley Heights, NJ",138000,B
Sold,1550,2005,Honda odyssey EX Minivan 4D,"Paterson, NJ",160000,A
Sold,2700,2005,Honda odyssey Touring Minivan 4D,"Brooklyn, NY",200000,A
Sold,4900,2000,Honda odyssey EX,"Clifton, NJ",140000,A
Sold,1500,2007,Honda odyssey Touring Minivan 4D,"Hackensack, NJ",180000,A
Sold,8900,2011,Honda odyssey Touring Minivan 4D,"Bronx, NY",99000,B
Sold,1899,2003,Honda odyssey EX Minivan 4D,"Brooklyn, NY",124000,A
Sold,1080,2000,Honda odyssey EX Minivan 4D,"New York, NY",210000,A
Sold,1500,2005,Honda odyssey,"Yonkers, NY",175000,A
Sold,3000,2002,Honda odyssey Exl,"Hauppauge, NY",186000,A
Sold,1500,2002,Honda odyssey,"Old Bridge, NJ",155000,A
Pending,1850,2001,Honda odyssey EX Minivan 4D,"Irvington, NJ",181000,A
Sold,6500,2011,Honda odyssey EX-L Minivan 4D,"Totowa, NJ",188000,B
Sold,4000,2006,Honda odyssey,"Perth Amboy, NJ",135000,A
Sold,3200,2003,Honda odyssey EX Minivan 4D,"Clifton, NJ",87000,A
Sold,1000,2009,Honda odyssey EX-L Minivan 4D,"Bronx, NY",1000,A
Sold,1500,2007,Honda odyssey Touring Minivan 4D,"Brooklyn, NY",185000,A
Sold,6900,2001,Honda odyssey EX Minivan 4D,"Dover, NJ",59000,B
Sold,4050,2006,Honda odyssey EX Minivan 4D,"Jamaica, NY",116000,A
Sold,1995,2007,Honda odyssey EX Minivan 4D,"Roslyn, NY",269000,A
Sold,3400,2007,Honda odyssey EX Minivan 4D,"Bronx, NY",156000,A
Sold,1500,2000,Honda odyssey LX Minivan 4D,"Paterson, NJ",180000,A
Sold,1755,2001,Honda odyssey EX Minivan 4D,"Bayside, NY",252000,A
Sold,2000,2008,Honda odyssey EX Minivan 4D,"Totowa, NJ",200000,A
Sold,3420,2004,Honda odyssey EX Minivan 4D,"Huntington Station, NY",155000,A
Sold,1200,2009,Honda odyssey Engine,"Brooklyn, NY",90000,A
Sold,6000,2012,Honda odyssey EX-L Minivan 4D,"Middle Village, NY",199000,B
