Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,1750,2006,Infiniti g35x X,"Westbury, NY",161000,A
Sold,2000,2004,Infiniti g35 3.5L,"Green Brook, NJ",202000,A
Pending,3000,2008,Infiniti g35x Awd,"South Richmond Hill, NY",175000,A
Sold,2200,2000,Infiniti premium Qx4,"Elizabethport, NJ",150000,A
Sold,4800,2006,Infiniti g35,"Staten Island, NY",150000,A
Sold,1800,2005,Infiniti G35,"Union City, NJ",160000,A
Sold,4500,1997,Infiniti Q45T,"Hazlet, NJ",97000,A
Sold,2450,2003,Infiniti g35 Sedan,"Kearny, NJ",122000,A
Sold,1500,2002,Infiniti g20,"West Babylon, NY",116000,A
Sold,1850,2000,Infiniti qx4,"Newark, NJ",150000,A
Pending,4305,2011,Infiniti m37x AWD,"Central Islip, NY",148000,A
Sold,1500,2007,Infiniti g35,"New Brunswick, NJ",169000,A
Sold,4500,2008,Infiniti ex35,"Valley Stream, NY",136000,A
Sold,2000,2009,Infiniti g37,"Jamaica, NY",153000,A
Sold,1800,1997,Infiniti qx4,"Oyster Bay, NY",157000,A
Sold,2100,2004,Infiniti g35,"Jersey City, NJ",170000,A
Sold,1300,2003,Infiniti g35 coupe,"Brentwood, NY",170000,A
Sold,2200,2000,Infiniti i30 Infiniti,"Bayonne, NJ",170000,A
Sold,3780,2008,Infiniti g35,"Brooklyn, NY",152000,A
Sold,1200,2003,Infiniti i35 Clean title,"Paterson, NJ",206000,A
Sold,1530,2003,Infiniti fx35,"St Albans, NY",180000,A
Sold,2800,2003,Infiniti m45 Sport,"Staten Island, NY",99000,A
Sold,1500,2008,Infiniti g35x,"Oceanside, NY",132000,A
Sold,2000,2007,Infiniti g35x,"Brooklyn, NY",107000,A
Sold,3500,2004,Infiniti g35 no dents clean car 1 owner,"Brightwaters, NY",126000,A
Sold,2995,2002,Infiniti i35 Touring,"Manalapan, NJ",70000,A
Sold,3000,2004,Infiniti g35x,"Fairview, NJ",118000,A
Sold,4900,2006,Infiniti m35x,"Flushing, NY",113000,A
Sold,1400,2006,Infiniti g35,"Carteret, NJ",140000,A
Sold,1950,2000,Infiniti qx4,"Newark, NJ",149000,A
Sold,1000,2005,Infiniti g35x,"Brooklyn, NY",180000,A
Sold,1800,2005,Infiniti g35,"Manchester, NJ",198000,A
Sold,1999,2005,Infiniti g35,"Hasbrouck Heights, NJ",127000,A
Sold,4000,2004,Infiniti g35,"Queens Village, NY",149000,A
Sold,2500,2004,Infiniti i36,"Newark, NJ",165000,A
Sold,2500,2003,Infiniti g35,"Hackensack, NJ",140000,A
Sold,6500,2008,Infiniti g37s Sport,"Whitestone, NY",150000,B
Sold,4000,2007,Infiniti g35x,"Brooklyn, NY",97000,A
Sold,3800,2007,Infiniti g35x,"Mt Vernon, NY",135000,A
Sold,1800,2006,Infiniti m35x,"East Orange, NJ",160000,A
Sold,1600,2005,Infiniti g35,"New York, NY",170000,A
Sold,2850,2011,Infiniti m37x,"Brooklyn, NY",136000,A
