Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,8700,1998,Jeep wrangler SE Sport Utility 2D,"Long Branch, NJ",99000,B
Sold,2000,1987,Jeep wrangler Sport SUV 2D,"Blairstown, NJ",132000,A
Pending,5500,2000,Jeep wrangler Sahara Sport Utility 2D,"Westtown, NY",199000,B
Sold,5000,2003,"Jeep wrangler ""Sport"" Sport Utility 2D","White Plains, NY",147000,A
Sold,4500,2001,Jeep wrangler,"Lafayette, NJ",164000,A
Sold,1000,2001,Jeep wrangler Sport Utility 2D,"Ringwood, NJ",202000,A
Sold,4200,1999,Jeep wrangler,"Staten Island, NY",180000,A
Sold,2500,2017,Jeep wrangler unlimited Sport SUV 4D,"Linden, NJ",109000,A
Sold,2000,1990,Jeep wrangler,"Toms River, NJ",155000,A
Sold,3800,1995,Jeep wrangler S Sport Utility 2D,"Richmond Hill, NY",110000,A
Sold,10000,2002,Jeep wrangler SE Sport Utility 2D,"Belleville, NJ",142000,B
Sold,9500,2004,Jeep wrangler Rocky mountain edition,"Smithtown, NY",153000,B
Sold,2900,1999,Jeep wrangler SE Sport Utility 2D,"Brooklyn, NY",130000,A
Sold,7500,1999,Jeep wrangler,"West Long Branch, NJ",120000,B
Sold,5500,2008,Jeep wrangler X Sport Utility 2D,"Hicksville, NY",184000,B
Sold,2000,1995,Jeep wrangler,"Hamburg, NJ",124000,A
Sold,4500,1999,Jeep wrangler Sahara Sport Utility 2D,"Oceanport, NJ",136000,A
Sold,13500,2006,Jeep wrangler Sport SUV 2D,"Hillsborough, NJ",69000,C
Sold,5250,1993,Jeep wrangler Sport Utility 2D,"West Islip, NY",100000,B
Sold,6500,1997,Jeep wrangler,"West Milford, NJ",106000,B
Sold,2000,1985,Jeep cj7 wrangler,"Hackettstown, NJ",101000,A
Sold,4500,1995,Jeep wrangler S Sport Utility 2D,"Lodi, NJ",144000,A
Sold,3500,1990,Jeep wrangler,"Wyckoff, NJ",140000,A
Sold,2000,1997,Jeep wrangler Sport Utility 2D,"South Amboy, NJ",1000000,A
Sold,7500,1997,Jeep wrangler,"Browns Mills, NJ",108000,B
Sold,2500,1994,Jeep wrangler SE Sport Utility 2D,"West Orange, NJ",120000,A
Sold,3500,1999,Jeep wrangler,"Elmsford, NY",170000,A
Sold,5350,1999,Jeep wrangler,"Teaneck, NJ",88000,B
Sold,9500,2002,Jeep wrangler SE Sport Utility 2D,"Bayonne, NJ",115000,B
Sold,4200,1999,Jeep wrangler Sport Utility 2D,"Lakewood, NJ",196000,A
Sold,8750,1995,Jeep wrangler,"Plainfield, NJ",69000,B
Sold,8500,2008,Jeep wrangler Sahara Sport Utility 2D,"Hackensack, NJ",154000,B
Sold,3500,1995,Jeep wrangler SE Sport Utility 2D,"Metuchen, NJ",172000,A
Sold,13000,2007,Jeep wrangler,"Carle Place, NY",100000,C
