Contract,Price,Year,Make&Model,Location,Miles,Category
Pending,5600,2000,Mercedes-Benz e-class E 320 Sedan 4D,"Lake Hopatcong, NJ",73000,B
Sold,2500,1998,Mercedes-Benz clk-class CLK 320 Coupe 2D,"New Rochelle, NY",155000,A
Sold,1800,2008,Mercedes-Benz c-class C 300 4MATIC Sport Sedan 4D,"Teaneck, NJ",200000,A
Sold,1000,2005,Mercedes-Benz s-class S 500 4MATIC Sedan 4D,"Staten Island, NY",170000,A
Sold,1000,2000,Mercedes-Benz c-class C 230 Sedan 4D,"Bronx, NY",124000,A
Sold,3500,2003,Mercedes-Benz s-class S 500 Sedan 4D,"Hackettstown, NJ",180000,A
Sold,1860,1999,Mercedes-Benz e-class E 430 Sedan 4D,"Yonkers, NY",127000,A
Sold,6950,2011,Mercedes-Benz e-class E 350 4MATIC Sedan 4D,"Westfield, NJ",85000,B
Sold,10900,2012,Mercedes-Benz c-class C 300 4MATIC Sport Sedan 4D,"Tinton Falls, NJ",70000,C
Sold,19500,2002,Mercedes-Benz g-class G 500 Sport Utility 4D,"Bronx, NY",266000,D
Sold,4000,2008,Mercedes-Benz c-class C 300 4MATIC Luxury Sedan 4D,"Staten Island, NY",128000,A
Sold,3700,2005,Mercedes-Benz clk-class CLK 320 Cabriolet 2D,"New Hyde Park, NY",126000,A
Sold,5500,2003,Mercedes-Benz sl-class SL 500 Roadster 2D,"Brooklyn, NY",147000,B
Sold,3500,1989,Mercedes-Benz 190 e 2.6 Sedan 4D,"Leonia, NJ",190000,A
Sold,4000,2000,Mercedes-Benz clk-class CLK 430 Coupe 2D,"Manchester, NJ",130000,A
Sold,2000,2008,Mercedes-Benz c-class C 300 4MATIC Sport Sedan 4D,"Elizabethport, NJ",138000,A
Sold,9995,2001,Mercedes-Benz e-class E 320 Sedan 4D,"Lavallette, NJ",46000,B
Pending,14500,2015,Mercedes-Benz c-class 4Matic,"East Meadow, NY",97000,C
Pending,2500,1991,Mercedes-Benz 300 d Sedan 4D,"Woodhaven, NY",118000,A
Sold,2800,2006,Mercedes-Benz cls500 runs and drives good a/c,"Jamaica, NY",125000,A
Sold,3500,2005,Mercedes-Benz e-class E 320 4MATIC Sedan 4D,"Glen Oaks, NY",112000,A
Sold,3300,2001,Mercedes-Benz e-class E 320 Wagon 4D,"Hewlett, NY",134000,A
Sold,1350,2000,Mercedes-Benz c-class C 230 Sedan 4D,"Morganville, NJ",192000,A
Sold,5000,1972,Mercedes-Benz 300 se Sedan 4D,"Nutley, NJ",999000,A
Sold,8009,2013,Mercedes-Benz c-class C 250 Coupe 2D,"New York, NY",78000,B
Sold,3500,1992,Mercedes-Benz 300 e 2.6 Sedan 4D,"Sayreville, NJ",109000,A
Sold,4000,1988,Mercedes-Benz 500 sel Sedan 4D,"Palisades Park, NJ",115000,A
Sold,2800,2000,Mercedes-Benz c-class C 230 Sedan 4D,"Keyport, NJ",182000,A
Sold,2600,2005,Mercedes-Benz 748565569745039,"New York, NY",200000,A
Pending,5300,1995,Mercedes-Benz sl-class SL 500 Roadster 2D,"West Hempstead, NY",101000,B
Sold,3700,1989,Mercedes-Benz 190 e 2.6 Sedan 4D,"Leonia, NJ",190000,A
Sold,4800,2001,Mercedes-Benz c-class C 240 Sedan 4D,"Dumont, NJ",72000,A
Sold,3500,2007,Mercedes-Benz e-class,"Woodbridge, NJ",165000,A
Sold,13900,2015,Mercedes-Benz m-class ML 350 4MATIC Sport Utility 4D,"New York, NY",122000,C
Sold,1800,2002,Mercedes-Benz clk-class CLK 430 Cabriolet 2D,"Bronx, NY",180000,A
Sold,4500,2008,Mercedes-Benz 656104808687563 C 300 Luxury Sedan 4D,"Whitestone, NY",124000,A
Sold,4000,1995,Mercedes-Benz e300 diesel,"Elizabeth, NJ",233000,A
Sold,16900,2004,Mercedes-Benz e-class,"New York, NY",117000,D
Sold,3800,2009,Mercedes-Benz c-class C 350 Sport Sedan 4D,"Brooklyn, NY",160000,A
Sold,3300,2004,Mercedes-Benz e-class E 500 Sedan 4D,"Long Island City, NY",187000,A
Sold,4999,2008,Mercedes-Benz c-class C 350 Sport Sedan 4D,"South Richmond Hill, NY",153000,A
Sold,16999,2017,Mercedes-Benz 783184659772631 E 300 4MATIC Sedan 4D,"Brooklyn, NY",70000,D
Sold,4050,1980,Mercedes-Benz 190 e Replicar-Gazelle Classic,"Livingston, NJ",11000,A
Sold,8900,2012,Mercedes-Benz c-class C 300 4MATIC Sport Sedan 4D,"New Brunswick, NJ",75000,B
Sold,1100,2006,Mercedes-Benz e-class E 350 Sedan 4D,"Brooklyn, NY",200000,A
