Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,1100,2001,Mitsubishi galant ES Sedan 4D,"Iselin, NJ",116000,A
Sold,1900,2003,Mitsubishi galant ES Sedan 4D,"Brooklyn, NY",102000,A
Sold,1900,2001,Mitsubishi galant LS Sedan 4D,"New York, NY",146000,A
Sold,2800,2002,Mitsubishi galant LS Sedan 4D,"Springfield Gardens, NY",114000,A
Sold,3900,2011,Mitsubishi galant FE Sedan 4D,"New York, NY",175000,A
Sold,2700,2009,Mitsubishi galant Sport Sedan 4D,"Bronx, NY",167000,A
Sold,3900,2011,Mitsubishi galant FE Sedan 4D,"East Elmhurst, NY",175000,A
Sold,4000,1988,Mitsubishi galant,"Bumpass, VA",60000,A
Sold,1600,2001,Mitsubishi galant ES Sedan 4D,"Pennsauken, NJ",132000,A
Sold,1500,1994,Mitsubishi galant ES Sedan 4D,"Berryville, VA",176000,A
Sold,1500,2002,Mitsubishi galant ES Sedan 4D,"Waterbury, CT",105000,A
Sold,1500,2005,Mitsubishi galant Sedan,"Newport News, VA",148000,A
Sold,2500,2001,Mitsubishi galant ES Sedan 4D,"Newtonville, NJ",222000,A
Sold,2300,2005,Mitsubishi galant ES Sedan 4D,"Philadelphia, PA",105000,A
Sold,2495,2007,Mitsubishi galant,"Glassboro, NJ",209000,A
Sold,1300,2007,Mitsubishi galant SE Sedan 4D,"Winsted, CT",206000,A
