Contract,Price,Year,Make&Model,Location,Miles
Sold,1500,1998,Subaru legacy Outback Wagon 4D,"Waterboro, ME",91000
Sold,4000,2015,Subaru legacy 2.5i Limited Sedan 4D,"New Rochelle, NY",999000
Sold,1000,2001,Subaru legacy,"Middletown, NY",239000
Sold,2800,2000,Subaru legacy GT Limited Sedan 4D,"New City, NY",145000
Sold,1700,2002,Subaru legacy L Sedan 4D,"Westbrook, CT",210000
Sold,1500,1999,Subaru legacy Outback Wagon 4D,"Laconia, NH",245000
Pending,2800,2005,Subaru legacy 2.5 GT Limited Sedan 4D,"Clifton, NJ",117000
Sold,1000,1993,Subaru legacy,"Catonsville, MD",121000
Sold,1900,1996,Subaru legacy,"West Point, VA",233000
Sold,2200,2009,Subaru legacy gt turbo,"Oak Ridge, NJ",155000
Pending,7400,2013,Subaru legacy 2.5i Premium Sedan 4D,"Berlin, CT",123000
Sold,2600,2004,Subaru legacy L Wagon 4D,"Haddonfield, NJ",169000
Sold,2500,2007,Subaru legacy 2.5i Sedan 4D,"Waterbury, CT",183000
Sold,7500,2012,Subaru legacy 2.5i Limited Sedan 4D,"West Haven, CT",148000
Sold,2400,2009,Subaru legacy 2.5i Sedan 4D,"Mt Vernon, NY",190000
Sold,1200,1997,Subaru legacy Outback Limited Wagon 4D,"Laurel, MD",200000
Sold,2000,2004,Subaru legacy GT Wagon 4D,"New London, CT",107000
Pending,5000,1994,Subaru legacy gt jdm 2.0 twin turbo,"Harleysville, PA",40000
Sold,3000,2008,Subaru legacy,"Bronx, NY",142000
Sold,3300,1997,Subaru legacy Outback Wagon 4D,"Baltimore, MD",117000
Sold,12900,2019,Subaru legacy 2.5i Sedan 4D,"East Rutherford, NJ",44000
Pending,2700,2010,Subaru legacy 2.5i Premium Sedan 4D,"Dornsife, PA",176000
Sold,2500,1997,Subaru legacy Outback Wagon 4D,"Danville, PA",110000
Sold,8500,2015,Subaru legacy 2.5i Limited Sedan 4D,"New York, NY",86000
Sold,3700,2005,Subaru legacy 2.5 GT Wagon 4D,"Fords, NJ",130000
Sold,3500,2007,Subaru legacy 2.5i Sedan 4D,"Baldwinsville, NY",134000
Sold,2000,2004,Subaru legacy GT Sedan 4D,"Hartford, CT",124000
Sold,7900,2018,Subaru legacy 2.5i Sedan 4D,"Katonah, NY",105000
Sold,6500,2005,Subaru legacy 2.5i Sedan 4D,"Morgantown, WV",78000
Sold,2800,1997,Subaru legacy Outback Wagon 4D,"Inwood, WV",152000
Sold,5000,2009,Subaru legacy 2.5i Limited Sedan 4D,"Brentwood, NY",140000
