Contract,Price,Year,Make&Model,Location,Miles
Sold,6000,2011,Subaru outback 2.5i Premium Wagon 4D,"East Orange, NJ",125000
Sold,1700,2005,Subaru outback,"Hillsborough, NJ",208000
Sold,5650,2011,Subaru outback 2.5i Limited Wagon 4D,"Keyport, NJ",131000
Sold,5500,2008,Subaru outback 2.5 XT Limited Wagon 4D,"Bronx, NY",110000
Sold,1500,2006,Subaru outback,"Ridgewood, NY",240000
Sold,2800,2009,Subaru outback 2.5i Limited Wagon 4D,"Washingtonville, NY",200000
Sold,3800,2006,Subaru outback,"Fairfield, CT",205000
Sold,2800,2011,Subaru outback 2.5i Premium Wagon 4D,"Mahopac, NY",135000
Sold,2500,2013,Subaru outback 2.5i Premium Wagon 4D,"Spotswood, NJ",140000
Sold,3399,2014,Subaru outback 2.5i Premium Wagon 4D,"Orange, NJ",239000
Sold,6500,2011,Subaru outback 2.5i Wagon 4D,"East Orange, NJ",125000
Sold,8000,2013,Subaru outback 2.5i Limited Wagon 4D,"Cortlandt Manor, NY",112000
Sold,3450,2009,Subaru outback 2.5i Wagon 4D,"Jersey City, NJ",161000
Sold,4449,2006,Subaru outback 2.5i Wagon 4D,"New Hyde Park, NY",110000
Sold,1800,2010,Subaru outback 2.5i Premium Wagon 4D,"Brooklyn, NY",141000
Sold,2000,2008,Subaru outback Basic Wagon 4D,"Uniondale, NY",146000
Sold,2400,2005,Subaru outback 2.5i Limited Wagon 4D,"Bronx, NY",170000
Sold,3800,2012,Subaru outback 2.5i Premium Wagon 4D,"Toms River, NJ",174000
Sold,6250,2011,Subaru outback 2.5i Premium Wagon 4D,"Fair Haven, NJ",146000
Sold,2500,2009,Subaru outback 2.5i Limited Wagon 4D,"Perth Amboy, NJ",217000
Sold,4200,2012,Subaru outback 3.6R Limited Wagon 4D,"Deer Park, NY",122000
Sold,5900,2010,Subaru outback 2.5i Premium Wagon 4D,"Hackensack, NJ",161000
Sold,6500,2010,Subaru outback 2.5i Premium Wagon 4D,"Lodi, NJ",160000
Sold,6500,2013,Subaru outback 2.5i Premium Wagon 4D,"Westport, CT",131000
Sold,6900,2010,Subaru outback 2.5i Limited Wagon 4D,"Lodi, NJ",160000
Sold,2300,2009,Subaru outback 2.5i Limited Wagon 4D,"Clifton, NJ",216000
Sold,6950,2010,Subaru outback 3.6R Limited Wagon 4D,"Brooklyn, NY",139000
Sold,3500,2014,Subaru outback 2.5i Limited Wagon 4D,"Haverstraw, NY",174000
