Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,1900,2008,Suzuki sx4 Sedan 4D,"Prospect Park, NJ",225000,A
Sold,2800,2009,Suzuki sx4 Hatchback 4D,"Brooklyn, NY",163000,A
Sold,3900,2009,Suzuki sx4 Hatchback 4D,"Southampton, PA",47000,A
Sold,3750,2007,Suzuki sx4 Other,"Hyattsville, MD",90000,A
Sold,2999,2011,Suzuki sx4 Hatchback 4D,"Hempstead, NY",173000,A
Sold,1200,2009,Suzuki sx4,"Manchester Center, VT",134000,A
Sold,1000,2010,Suzuki sx4 Hatchback 4D,"Chester, VA",186000,A
Pending,1500,2008,Suzuki sx4 Hatchback 4D,"Richmond, MA",155000,A
Sold,3200,2012,Suzuki sx4 Hatchback 4D,"Elizabeth, NJ",168000,A
Sold,1800,2008,Suzuki sx4 Sedan 4D,"Stroudsburg, PA",200000,A
Sold,2500,2007,Suzuki sx4 Hatchback Sedan 4D,"Morrisonville, NY",107000,A
Sold,2999,2009,Suzuki sx4 Hatchback 4D,"Newark, NJ",183000,A
Sold,1000,2009,Suzuki sx4 Hatchback 4D,"Montpelier, VT",130000,A
Sold,4800,2011,Suzuki sx4 Hatchback 4D,"Rochester, NY",92000,A
Pending,2000,2008,Suzuki sx4,"Pittsburgh, PA",91000,A
Sold,2500,2010,Suzuki sx4,"Pennsauken, NJ",107000,A
Sold,3600,2011,Suzuki sx4 LE Anniversary Edition Sedan 4D,"Piscataway, NJ",112000,A
Sold,1000,2008,Suzuki sx4,"Newport Center, VT",210000,A
Sold,4500,2012,Suzuki sx4 Hatchback 4D,"Roaring Spring, PA",97000,A
