Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,2400,2011,Audi q5 2.0T Quattro Premium Sport Utility 4D,"Elizabeth, NJ",200000,A
Sold,12700,2013,Audi q5 3.0T Premium Plus Sport Utility 4D,"Rye, NY",95000,C
Sold,2500,2015,Audi q5 2.0t quattro premium,"Newark, NJ",85000,A
Sold,10900,2014,Audi q5 2.0T Premium Sport Utility 4D,"Fair Lawn, NJ",125000,C
Sold,4800,2010,Audi q5 3.2 Quattro Premium Sport Utility 4D,"Carteret, NJ",210000,A
Sold,1500,2015,Audi q5 2.0T Premium Sport Utility 4D,"Kearny, NJ",71000,A
Pending,13350,2015,Audi q5 2.0T Premium Plus Sport Utility 4D,"Berkeley Heights, NJ",115000,C
Sold,26500,2019,Audi q5 2.0T QUATTRO PREMIUM,"College Point, NY",44000,F
Sold,26500,2019,Audi q5 2.0T QUATTRO PREMIUM,"New York, NY",44000,F
Sold,9000,2012,Audi q5 3.2 Quattro Premium Plus Sport Utility 4D,"Staten Island, NY",87000,B
Sold,3500,2018,Audi q5 2.0t quattro premium,"Newark, NJ",64000,A
Sold,8500,2010,Audi q5 3.2 quattro Prestige,"Cranford, NJ",114000,B
Sold,14445,2014,Audi q5 premium plus,"Teterboro, NJ",91000,C
Pending,26500,2019,Audi q5 2.0t quattro premium,"New York, NY",44000,F
Sold,4200,2012,Audi q5 2.0T Quattro Premium Sport Utility 4D,"Hillsborough, NJ",150000,A
Sold,8500,2011,Audi q5 2.0T Quattro Premium Sport Utility 4D,"Staten Island, NY",125000,B
Sold,10995,2013,Audi q5 2.0T Premium Plus Sport Utility 4D,"Brooklyn, NY",115000,C
Sold,19499,2016,Audi q5 2.0T Premium Plus Sport Utility 4D,"Scotch Plains, NJ",52000,D
Sold,5995,2010,Audi q5,"Passaic, NJ",165000,B
Sold,8990,2010,Audi q5 Quattro Prestige,"Roselle, NJ",114000,B
Sold,22999,2018,Audi q5,"Belleville, NJ",81000,E
Sold,12999,2012,Audi q5,"Brooklyn, NY",105000,C
Sold,10995,2010,Audi q5,"Lindenhurst, NY",97000,C
Sold,9999,2012,Audi q5 premium plus 2.0 l turbo awd,"Levittown, NY",141000,B
Sold,11800,2016,Audi q5 2.0T Premium Plus Sport Utility 4D,"Brooklyn, NY",135000,C
Sold,8000,2009,Audi q5 3.2 Quattro Premium Sport Utility 4D,"New Hyde Park, NY",117000,B
Sold,8500,2013,Audi q5 2.0T Premium Plus Sport Utility 4D,"Brooklyn, NY",134000,B
Sold,8500,2011,Audi q5 3.2 Quattro Premium Plus Sport Utility 4D,"Staten Island, NY",137000,B
