Contract,Price,Year,Make&Model,Location,Miles
Sold,2400,2011,Audi q5 2.0T Quattro Premium Sport Utility 4D,"Elizabeth, NJ",200000
Sold,12700,2013,Audi q5 3.0T Premium Plus Sport Utility 4D,"Rye, NY",95000
Sold,2500,2015,Audi q5 2.0t quattro premium,"Newark, NJ",85000
Sold,10900,2014,Audi q5 2.0T Premium Sport Utility 4D,"Fair Lawn, NJ",125000
Sold,4800,2010,Audi q5 3.2 Quattro Premium Sport Utility 4D,"Carteret, NJ",210000
Sold,1500,2015,Audi q5 2.0T Premium Sport Utility 4D,"Kearny, NJ",71000
Pending,13350,2015,Audi q5 2.0T Premium Plus Sport Utility 4D,"Berkeley Heights, NJ",115000
Sold,26500,2019,Audi q5 2.0T QUATTRO PREMIUM,"College Point, NY",44000
Sold,26500,2019,Audi q5 2.0T QUATTRO PREMIUM,"New York, NY",44000
Sold,9000,2012,Audi q5 3.2 Quattro Premium Plus Sport Utility 4D,"Staten Island, NY",87000
Sold,3500,2018,Audi q5 2.0t quattro premium,"Newark, NJ",64000
Sold,8500,2010,Audi q5 3.2 quattro Prestige,"Cranford, NJ",114000
Sold,14445,2014,Audi q5 premium plus,"Teterboro, NJ",91000
Pending,26500,2019,Audi q5 2.0t quattro premium,"New York, NY",44000
Sold,4200,2012,Audi q5 2.0T Quattro Premium Sport Utility 4D,"Hillsborough, NJ",150000
Sold,8500,2011,Audi q5 2.0T Quattro Premium Sport Utility 4D,"Staten Island, NY",125000
Sold,10995,2013,Audi q5 2.0T Premium Plus Sport Utility 4D,"Brooklyn, NY",115000
Sold,19499,2016,Audi q5 2.0T Premium Plus Sport Utility 4D,"Scotch Plains, NJ",52000
Sold,5995,2010,Audi q5,"Passaic, NJ",165000
Sold,8990,2010,Audi q5 Quattro Prestige,"Roselle, NJ",114000
Sold,22999,2018,Audi q5,"Belleville, NJ",81000
Sold,12999,2012,Audi q5,"Brooklyn, NY",105000
Sold,10995,2010,Audi q5,"Lindenhurst, NY",97000
Sold,9999,2012,Audi q5 premium plus 2.0 l turbo awd,"Levittown, NY",141000
Sold,11800,2016,Audi q5 2.0T Premium Plus Sport Utility 4D,"Brooklyn, NY",135000
Sold,8000,2009,Audi q5 3.2 Quattro Premium Sport Utility 4D,"New Hyde Park, NY",117000
Sold,8500,2013,Audi q5 2.0T Premium Plus Sport Utility 4D,"Brooklyn, NY",134000
Sold,8500,2011,Audi q5 3.2 Quattro Premium Plus Sport Utility 4D,"Staten Island, NY",137000
