Contract,Price,Year,Make&Model,Location,Miles
Sold,1500,1998,Chevrolet blazer Sport Utility 2D,"Staten Island, NY",154000
Sold,1400,1999,Chevrolet blazer Sport Utility 4D,"Eatontown, NJ",195000
Sold,5000,1999,Chevrolet blazer Sport Utility 4D,"Lyndhurst, NJ",65000
Sold,2500,2004,Chevrolet blazer,"Toms River, NJ",106000
Sold,1000,2002,Chevrolet blazer Sport Utility 4D,"Lakewood, NJ",150000
Sold,1800,1999,Chevrolet blazer Sport Utility 4D,"Ogdensburg, NJ",134000
Sold,4000,1978,Chevrolet blazer,"Glen Cove, NY",109000
Sold,20999,2021,Chevrolet blazer 1LT Sport Utility 4D,"Great Neck, NY",43000
Pending,1000,1995,Chevrolet blazer,"Robbinsville, NJ",200000
Sold,2800,1998,Chevrolet blazer Sport Utility 2D,"Manchester, CT",147000
Sold,1500,1998,Chevrolet blazer Sport Utility 4D,"Blue Point, NY",162000
Sold,2500,2001,Chevrolet blazer s10 zr2 ZR2,"Churchville, MD",190000
Sold,1234,1998,Chevrolet blazer,"Franklin, PA",120000
Sold,2600,2002,Chevrolet blazer Sport Utility 2D,"Virginia Beach, VA",161000
Sold,3300,2002,Chevrolet blazer Sport Utility 4D,"Piscataway, NJ",88000
