Contract,Price,Year,Make&Model,Location,Miles
Sold,5700,1998,Chevrolet camaro Coupe 2D,"Richmond Hill, NY",76000
Sold,4500,1992,Chevrolet camaro T-tops,"Monmouth Junction, NJ",120000
Pending,9800,2015,Chevrolet camaro LT Convertible 2D,"Union City, NJ",156000
Sold,4000,1991,Chevrolet camaro Z28 Coupe 2D,"Toms River, NJ",89000
Sold,3000,1968,Chevrolet camaro,"Staten Island, NY",10000
Sold,13000,2000,Chevrolet camaro Z28 Coupe 2D,"Hillsborough, NJ",57000
Sold,14000,1992,Chevrolet camaro RS Coupe 2D,"Farmingdale, NY",6000
Pending,7900,2010,Chevrolet camaro LT Coupe 2D,"Maplewood, NJ",140000
Sold,13000,1992,Chevrolet camaro RS Coupe 2D,"Farmingdale, NY",5000
Sold,12000,1989,Chevrolet camaro IROC,"Dover, NJ",2900
Sold,35000,1969,Chevrolet camaro Base,"Ridgefield, CT",329000
Sold,12000,2015,Chevrolet camaro LS Coupe 2D,"Newark, NJ",152000
Sold,6000,2010,Chevrolet camaro LS Coupe 2D,"Brooklyn, NY",145000
Sold,26000,2016,Chevrolet camaro SS Coupe 2D,"Baldwin, NY",52000
Sold,7000,2015,Chevrolet camaro LS Coupe 2D,"Wantagh, NY",47000
Sold,24495,2019,Chevrolet camaro,"Irvington, NJ",41000
Sold,30000,2015,Chevrolet camaro ZL1 Coupe 2D,"Middlesex, NJ",43000
Sold,14900,2015,Chevrolet camaro,"Highland Park, NJ",83000
Sold,11250,2014,Chevrolet camaro LT Coupe 2D,"Mahwah, NJ",82000
Sold,23000,2013,Chevrolet camaro LT Coupe 2D,"Jamaica, NY",39000
Sold,18995,2017,Chevrolet camaro LT Coupe 2D,"Hackensack, NJ",70000
