Contract,Price,Year,Make&Model,Location,Miles
Sold,6750,2006,Chrysler 300 SRT8 Sedan 4D,"Maplewood, NJ",101000
Sold,2400,2006,Chrysler 300 Hemi 5.7,"Bronx, NY",17000
Pending,6600,2014,Chrysler 300 Sedan 4D,"Long Island City, NY",117000
Sold,3350,2012,Chrysler 300 Sedan 4D,"Manalapan, NJ",219000
Sold,4500,2008,Chrysler 300 Limited Sedan 4D,"Rego Park, NY",125000
Sold,6850,2011,Chrysler 300 Limited Sedan 4D,"Hazlet, NJ",92000
Sold,2500,2014,Chrysler 300 Sedan 4D,"Bronx, NY",233000
Sold,2600,2006,Chrysler 300 Touring Sedan 4D,"Irvington, NJ",180000
Sold,7950,2018,Chrysler 300 Touring L Sedan 4D,"Weehawken, NJ",192000
Sold,8910,2006,Chrysler 300 SRT8 Sedan 4D,"Newark, NJ",195000
Sold,4300,2008,Chrysler 300,"North Brunswick, NJ",93000
Sold,3800,2013,Chrysler 300,"New Brunswick, NJ",175000
Sold,6700,2012,Chrysler 300 Sedan 4D,"Lakewood, NJ",130000
Sold,7500,2012,Chrysler 300,"Elizabeth, NJ",149000
