Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,6500,2007,Dodge magnum Sport Wagon 4D,"Great River, NY",143000,B
Sold,1500,2005,Dodge magnum R/T Sport Wagon 4D,"Gifford, PA",123000,A
Sold,1500,2005,Dodge magnum R/T Sport Wagon 4D,"Gouldsboro, PA",131000,A
Sold,2500,2005,Dodge magnum R/T Sport Wagon 4D,"New Bedford, MA",111000,A
Sold,7500,2005,Dodge magnum R/T Sport Wagon 4D,"Waldorf, MD",87000,B
Sold,2000,2008,Dodge magnum Sport Wagon 4D,"Chambersburg, PA",134000,A
Sold,1200,2006,Dodge magnum Sport Wagon 4D,"Peach Bottom, PA",136000,A
Sold,2500,2007,Dodge magnum Sport Wagon 4D,"Seaford, DE",194000,A
Sold,4000,2008,Dodge magnum SE,"Woodbury, NJ",168000,A
Sold,3000,2006,Dodge magnum R/T Sport Wagon 4D,"Oakland, MD",106000,A
Sold,2500,2007,Dodge magnum Sport Wagon 4D,"Townsend, DE",120000,A
Sold,2500,2005,Dodge magnum,"Boonville, NY",168000,A
Sold,5000,2005,Dodge magnum R/T Sport Wagon 4D,"Limerick, ME",69000,A
Sold,1750,2005,Dodge magnum,"Virginia Beach, VA",200000,A
