Contract,Price,Year,Make&Model,Location,Miles
Sold,4500,2013,Fiat 500 Pop Hatchback 2D,"Lowell, MA",119000
Sold,15000,2017,Fiat 500 Abarth,"Middle Village, NY",56000
Pending,4000,2012,Fiat 500 Sport Hatchback 2D,"Waltham, MA",10000
Pending,6999,2013,Fiat 500 Turbo Hatchback 2D,"Woodbridge, CT",72000
Sold,3000,2012,Fiat 500 Sport Hatchback 2D,"Staten Island, NY",120000
Sold,3800,2012,Fiat 500,"Wharton, NJ",148000
Sold,2400,2013,Fiat 500 Sport Hatchback 2D,"Reading, PA",200000
Sold,4500,2013,Fiat 500,"Philadelphia, PA",63000
Sold,1000,2013,Fiat 500 sport,"Port Matilda, PA",160000
Sold,3600,2014,Fiat 500 abarth GQ Convertible,"Warrington, PA",93000
Sold,2500,2015,Fiat 500 pop,"Rutland, VT",151000
Sold,3800,2012,Fiat 500 Sport Hatchback 2D,"Lynn, MA",76000
Pending,3500,2012,Fiat 500 Sport Hatchback 2D,"Fort Plain, NY",162000
Sold,1700,2013,Fiat 500 Pop Hatchback 2D,"Woodbridge, VA",66000
Sold,8500,2014,Fiat 500 Lounge Hatchback 2D,"Colebrook, CT",92000
Sold,5500,2013,Fiat 500 Sport Hatchback 2D,"Berlin, NJ",99000
