Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,3250,1998,Honda civic HX Coupe 2D,"Howell, NJ",150000,A
Sold,1500,1999,Honda civic DX Coupe 2D,"Commack, NY",120000,A
Sold,2300,2000,Honda civic DX Sedan 4D,"Paterson, NJ",170000,A
Sold,3500,2000,Honda civic LX Sedan 4D,"Hollis, NY",1200,A
Sold,1890,1998,Honda accord DX Sedan 4D,"Paterson, NJ",125000,A
Sold,1000,1995,Honda civic DX Coupe 2D,"Woodside, NY",123000,A
Sold,1500,1997,Honda civic LX Sedan 4D,"Elizabeth, NJ",150000,A
Sold,1500,2000,Honda civic LX Sedan 4D,"New York, NY",107000,A
Sold,1500,1997,Honda civic EX Coupe 2D,"Brentwood, NY",202000,A
Sold,2300,1999,Honda civic LX Sedan 4D,"Fairfield, NJ",135000,A
Sold,1100,1998,Honda civic EX Coupe 2D,"Somerset, NJ",98000,A
Sold,3000,1998,Honda accord LX Sedan 4D,"South Ozone Park, NY",151000,A
Sold,3500,1993,Honda prelude VTEC Coupe 2D,"Peekskill, NY",141000,A
Sold,1500,1997,Honda civic EX Coupe 2D,"Farmingdale, NY",97000,A
Sold,1950,1998,Honda civic LX Sedan 4D,"Manalapan, NJ",197000,A
Sold,3500,1997,Honda prelude Coupe 2D,"Huntington Station, NY",18000,A
Sold,2300,2010,Honda civic DX Sedan 4D,"New York, NY",208000,A
Sold,1400,1999,Honda accord EX Sedan 4D,"Huntington, NY",253000,A
Sold,2500,1998,Honda civic LX Sedan 4D,"Yorktown Heights, NY",198000,A
Sold,1550,1995,Honda accord EX Sedan 4D,"Boonton, NJ",290000,A
Sold,1300,2000,Honda civic EX Sedan 4D,"Jersey City, NJ",190000,A
Sold,1200,1999,Honda civic LX Sedan 4D,"Mamaroneck, NY",194000,A
Sold,1234,1995,Honda del sol S Coupe 2D,"Edgewater, NJ",196000,A
Sold,2000,1995,Honda accord LX Sedan 4D,"Hempstead, NY",136000,A
Sold,1500,1996,Honda accord EX Sedan 4D,"Oak Ridge, NJ",140000,A
Sold,3500,2000,Honda civic EX Coupe 2D,"South Richmond Hill, NY",72000,A
Sold,2400,1997,Honda civic DX Sedan 4D,"Fords, NJ",175000,A
Sold,1500,1994,Honda prelude VTEC Coupe 2D,"Huntington Station, NY",300,A
Sold,1650,1994,Honda accord EX Sedan 4D,"Mt Vernon, NY",36000,A
