Contract,Price,Year,Make&Model,Location,Miles
Sold,3000,2006,Infiniti fx35,"Jersey City, NJ",167000
Sold,1530,2003,Infiniti fx35,"St Albans, NY",180000
Sold,3200,2003,Infiniti fx35,"Irvington, NJ",139000
Sold,9000,2004,Infiniti fx35,"Fresh Meadows, NY",26000
Sold,4500,2003,Infiniti fx35,"Hillside, NJ",140000
Sold,11500,2004,Infiniti fx35,"Hightstown, NJ",176000
Sold,8500,2011,Infiniti fx35 Full,"Bronx, NY",143000
Sold,5500,2007,Infiniti fx35,"Paterson, NJ",153000
Sold,8500,2010,Infiniti fx35,"Paterson, NJ",157000
Sold,4500,2007,Infiniti fx35,"Richmond Hill, NY",180000
