Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,5950,2010,Infiniti g37x,"Baldwin, NY",176000,B
Sold,5200,2009,Infiniti g37x,"New York, NY",113000,B
Sold,6500,2008,Infiniti g37 coupe 6 speed s,"Bronx, NY",1100,B
Sold,6500,2008,Infiniti g37 sport,"Bronx, NY",90000,B
Sold,9000,2008,Infiniti g37,"Brooklyn, NY",97000,B
Pending,2000,2009,Infiniti g37x,"Lodi, NJ",190000,A
Sold,6500,2008,Infiniti g37s Sport,"Whitestone, NY",150000,B
Sold,26000,2011,Infiniti g37 XS,"South Ozone Park, NY",81000,F
Sold,5499,2008,Infiniti g37,"Brooklyn, NY",120000,B
Sold,6500,2009,Infiniti g37 convertible,"Cranford, NJ",143000,B
Sold,5400,2009,Infiniti g37x,"Montville, NJ",183000,B
Sold,6500,2010,Infiniti g37,"Jamaica, NY",123000,B
Sold,8500,2013,Infiniti g37,"Jersey City, NJ",97000,B
Sold,3499,2009,Infiniti g37,"New York, NY",141000,A
Sold,4200,2011,Infiniti g37x,"Brooklyn, NY",141000,A
