Contract,Price,Year,Make&Model,Location,Miles,Category
Pending,4500,2007,Jeep compass Sport SUV 4D,"Boonton, NJ",79000,A
Sold,3000,2011,Jeep compass,"East Orange, NJ",162000,A
Sold,6000,2020,Jeep compass Altitude Sport Utility 4D,"New York, NY",20000,B
Sold,2500,2007,Jeep compass Limited Sport Utility 4D,"Brooklyn, NY",182000,A
Sold,22330,2019,Jeep compass Trailhawk Sport Utility 4D,"New York, NY",64000,E
Sold,43655,2023,Jeep compass Limited Sport Utility 4D,"New York, NY",300,F
Sold,3000,2010,Jeep compass,"Irvington, NJ",130000,A
Sold,3999,2011,Jeep compass,"Maplewood, NJ",162000,A
Pending,2000,2014,Jeep compass Sport SUV 4D,"Brentwood, NY",134000,A
Sold,16000,2018,Jeep compass Limited Sport Utility 4D,"Greenlawn, NY",60000,D
Sold,4000,2011,Jeep compass Limited Sport Utility 4D,"New York, NY",126000,A
Sold,4000,2011,Jeep compass Sport SUV 4D,"Secaucus, NJ",200000,A
Sold,3800,2011,Jeep compass,"Newark, NJ",162000,A
Sold,1500,2007,Jeep compass Limited Sport Utility 4D,"Toms River, NJ",18000,A
Sold,5000,2010,Jeep compass Sport SUV 4D,"West New York, NJ",115000,A
Sold,7800,2017,Jeep compass Sport SUV 4D,"Oceanside, NY",112000,B
Sold,2800,2007,Jeep compass Sport SUV 4D,"Paterson, NJ",156000,A
Sold,6400,2013,Jeep compass,"Middletown, NY",89000,B
Sold,5900,2013,Jeep compass Limited Sport Utility 4D,"Bronx, NY",99000,B
Sold,15000,2018,Jeep compass Latitude Sport Utility 4D,"Mamaroneck, NY",47000,C
Sold,4700,2013,Jeep compass Latitude Sport Utility 4D,"Bronx, NY",140000,A
Sold,18000,2017,Jeep compass,"Milltown, NJ",36000,D
Sold,5900,2010,Jeep compass Sport SUV 4D,"Paterson, NJ",70000,B
Sold,10995,2016,Jeep compass,"Garfield, NJ",104000,C
Sold,5900,2014,Jeep compass Latitude Sport Utility 4D,"East Elmhurst, NY",154000,B
Sold,6850,2016,Jeep compass Sport SE Sport Utility 4D,"Nanuet, NY",109000,B
Sold,6000,2012,Jeep compass Limited Sport Utility 4D,"Brooklyn, NY",95000,B
Sold,5750,2014,Jeep compass Sport SUV 4D,"Fair Lawn, NJ",159000,B
Sold,4500,2013,Jeep compass Latitude Sport Utility 4D,"Edison, NJ",167000,A
