Contract,Price,Year,Make&Model,Location,Miles
Pending,4500,2007,Jeep compass Sport SUV 4D,"Boonton, NJ",79000
Sold,3000,2011,Jeep compass,"East Orange, NJ",162000
Sold,6000,2020,Jeep compass Altitude Sport Utility 4D,"New York, NY",20000
Sold,2500,2007,Jeep compass Limited Sport Utility 4D,"Brooklyn, NY",182000
Sold,22330,2019,Jeep compass Trailhawk Sport Utility 4D,"New York, NY",64000
Sold,43655,2023,Jeep compass Limited Sport Utility 4D,"New York, NY",300
Sold,3000,2010,Jeep compass,"Irvington, NJ",130000
Sold,3999,2011,Jeep compass,"Maplewood, NJ",162000
Pending,2000,2014,Jeep compass Sport SUV 4D,"Brentwood, NY",134000
Sold,16000,2018,Jeep compass Limited Sport Utility 4D,"Greenlawn, NY",60000
Sold,4000,2011,Jeep compass Limited Sport Utility 4D,"New York, NY",126000
Sold,4000,2011,Jeep compass Sport SUV 4D,"Secaucus, NJ",200000
Sold,3800,2011,Jeep compass,"Newark, NJ",162000
Sold,1500,2007,Jeep compass Limited Sport Utility 4D,"Toms River, NJ",18000
Sold,5000,2010,Jeep compass Sport SUV 4D,"West New York, NJ",115000
Sold,7800,2017,Jeep compass Sport SUV 4D,"Oceanside, NY",112000
Sold,2800,2007,Jeep compass Sport SUV 4D,"Paterson, NJ",156000
Sold,6400,2013,Jeep compass,"Middletown, NY",89000
Sold,5900,2013,Jeep compass Limited Sport Utility 4D,"Bronx, NY",99000
Sold,15000,2018,Jeep compass Latitude Sport Utility 4D,"Mamaroneck, NY",47000
Sold,4700,2013,Jeep compass Latitude Sport Utility 4D,"Bronx, NY",140000
Sold,18000,2017,Jeep compass,"Milltown, NJ",36000
Sold,5900,2010,Jeep compass Sport SUV 4D,"Paterson, NJ",70000
Sold,10995,2016,Jeep compass,"Garfield, NJ",104000
Sold,5900,2014,Jeep compass Latitude Sport Utility 4D,"East Elmhurst, NY",154000
Sold,6850,2016,Jeep compass Sport SE Sport Utility 4D,"Nanuet, NY",109000
Sold,6000,2012,Jeep compass Limited Sport Utility 4D,"Brooklyn, NY",95000
Sold,5750,2014,Jeep compass Sport SUV 4D,"Fair Lawn, NJ",159000
Sold,4500,2013,Jeep compass Latitude Sport Utility 4D,"Edison, NJ",167000
