Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,5000,2006,Mercedes-Benz s-class S 55 AMG Sedan 4D,"Passaic, NJ",174000,A
Sold,3500,2003,Mercedes-Benz s-class S 500 Sedan 4D,"Hackettstown, NJ",180000,A
Pending,5600,2000,Mercedes-Benz e-class E 320 Sedan 4D,"Lake Hopatcong, NJ",73000,B
Sold,1000,2005,Mercedes-Benz s-class S 500 4MATIC Sedan 4D,"Staten Island, NY",170000,A
Sold,6950,2011,Mercedes-Benz e-class E 350 4MATIC Sedan 4D,"Westfield, NJ",85000,B
Sold,2500,1998,Mercedes-Benz clk-class CLK 320 Coupe 2D,"New Rochelle, NY",155000,A
Sold,4000,2007,Mercedes-Benz gl-class GL 450 Sport Utility 4D,"Lodi, NJ",103000,A
Sold,1800,2008,Mercedes-Benz c-class C 300 4MATIC Sport Sedan 4D,"Teaneck, NJ",200000,A
Sold,4999,2009,Mercedes-Benz c-class,"Little Ferry, NJ",167000,A
Sold,19500,2002,Mercedes-Benz g-class G 500 Sport Utility 4D,"Bronx, NY",266000,D
Pending,5300,1995,Mercedes-Benz sl-class SL 500 Roadster 2D,"West Hempstead, NY",101000,B
Sold,5500,2003,Mercedes-Benz sl-class SL 500 Roadster 2D,"Brooklyn, NY",147000,B
Sold,10900,2012,Mercedes-Benz c-class C 300 4MATIC Sport Sedan 4D,"Tinton Falls, NJ",70000,C
Sold,5800,2008,Mercedes-Benz s-class S 550 Sedan 4D,"Jersey City, NJ",130000,B
Sold,1860,1999,Mercedes-Benz e-class E 430 Sedan 4D,"Yonkers, NY",127000,A
Sold,11600,2011,Mercedes-Benz s-class S 550 4MATIC Sedan 4D,"Brooklyn, NY",98000,C
Sold,2400,2003,Mercedes-Benz c-class C 320 Sport Coupe 2D,"College Point, NY",148000,A
Sold,5000,2003,Mercedes-Benz e-class E 500 Sedan 4D,"Union, NJ",158000,A
Sold,3200,2006,Mercedes-Benz clk350 convertable 125k clean top closed,"Brooklyn, NY",125000,A
Sold,13900,2015,Mercedes-Benz m-class ML 350 4MATIC Sport Utility 4D,"New York, NY",122000,C
Sold,1000,2002,Mercedes-Benz e-class,"Toms River, NJ",209000,A
Sold,3700,2005,Mercedes-Benz clk-class CLK 320 Cabriolet 2D,"New Hyde Park, NY",126000,A
Sold,5999,2003,Mercedes-Benz s-class S 430 4MATIC Sedan 4D,"Port Chester, NY",85000,B
Sold,10500,1999,Mercedes-Benz sl-class SL 500 Roadster 2D,"Hillsdale, NJ",49000,C
Sold,2000,1999,Mercedes-Benz slk-class SLK 230 Roadster 2D,"Oakdale, NY",150000,A
Sold,1500,2002,Mercedes-Benz m-class ML 500 Sport Utility 4D,"Paramus, NJ",219000,A
Sold,16900,2004,Mercedes-Benz e-class,"New York, NY",117000,D
Sold,4000,2003,Mercedes-Benz s-class S 430 Sedan 4D,"Springfield Gardens, NY",175000,A
Sold,3300,2004,Mercedes-Benz e-class E 500 Sedan 4D,"Long Island City, NY",187000,A
Sold,1000,2000,Mercedes-Benz c-class C 230 Sedan 4D,"Bronx, NY",124000,A
Sold,3500,2007,Mercedes-Benz e-class,"Woodbridge, NJ",165000,A
Sold,4000,2000,Mercedes-Benz clk-class CLK 430 Coupe 2D,"Manchester, NJ",130000,A
