Contract,Price,Year,Make&Model,Location,Miles
Pending,5600,2000,Mercedes-Benz e-class E 320 Sedan 4D,"Lake Hopatcong, NJ",73000
Sold,6950,2011,Mercedes-Benz e-class E 350 4MATIC Sedan 4D,"Westfield, NJ",85000
Sold,1860,1999,Mercedes-Benz e-class E 430 Sedan 4D,"Yonkers, NY",127000
Sold,3500,1989,Mercedes-Benz 190 e 2.6 Sedan 4D,"Leonia, NJ",190000
Sold,9995,2001,Mercedes-Benz e-class E 320 Sedan 4D,"Lavallette, NJ",46000
Sold,3300,2001,Mercedes-Benz e-class E 320 Wagon 4D,"Hewlett, NY",134000
Sold,1650,1999,Mercedes-Benz e-class E 320 Sedan 4D,"Staten Island, NY",196000
Sold,3500,2005,Mercedes-Benz e-class E 320 4MATIC Sedan 4D,"Glen Oaks, NY",112000
Sold,3500,1992,Mercedes-Benz 300 e 2.6 Sedan 4D,"Sayreville, NJ",109000
Sold,1000,2001,Mercedes-Benz e-class E 430 Sedan 4D,"Glen Cove, NY",258000
Sold,5600,2006,Mercedes-Benz e-class E 350 4MATIC Wagon 4D,"Rye, NY",149000
Sold,3300,2004,Mercedes-Benz e-class E 500 Sedan 4D,"Long Island City, NY",187000
Sold,9800,2010,Mercedes-Benz e-class E 350 Sedan 4D,"Ridgewood, NY",109000
Sold,16999,2017,Mercedes-Benz 783184659772631 E 300 4MATIC Sedan 4D,"Brooklyn, NY",70000
Sold,3500,2003,Mercedes-Benz e-class E 320 Sedan 4D,"Brooklyn, NY",78000
Sold,3500,2006,Mercedes-Benz e-class E 500 4MATIC Sedan 4D,"Irvington, NJ",188000
