Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,2500,1998,Mercedes-Benz clk-class CLK 320 Coupe 2D,"New Rochelle, NY",155000,A
Sold,5000,2006,Mercedes-Benz s-class S 55 AMG Sedan 4D,"Passaic, NJ",174000,A
Sold,1000,2005,Mercedes-Benz s-class S 500 4MATIC Sedan 4D,"Staten Island, NY",170000,A
Sold,3500,2003,Mercedes-Benz s-class S 500 Sedan 4D,"Hackettstown, NJ",180000,A
Pending,5600,2000,Mercedes-Benz e-class E 320 Sedan 4D,"Lake Hopatcong, NJ",73000,B
Sold,1860,1999,Mercedes-Benz e-class E 430 Sedan 4D,"Yonkers, NY",127000,A
Sold,19500,2002,Mercedes-Benz g-class G 500 Sport Utility 4D,"Bronx, NY",266000,D
Sold,5500,2003,Mercedes-Benz sl-class SL 500 Roadster 2D,"Brooklyn, NY",147000,B
Sold,2500,1998,Mercedes-Benz m-class ML 320 Sport Utility 4D,"Brooklyn, NY",161000,A
Sold,4000,1995,Mercedes-Benz e300 diesel,"Elizabeth, NJ",233000,A
Sold,5800,2008,Mercedes-Benz s-class S 550 Sedan 4D,"Jersey City, NJ",130000,B
Sold,1000,2000,Mercedes-Benz c-class C 230 Sedan 4D,"Bronx, NY",124000,A
Sold,3500,1989,Mercedes-Benz 190 e 2.6 Sedan 4D,"Leonia, NJ",190000,A
Sold,11600,2011,Mercedes-Benz s-class S 550 4MATIC Sedan 4D,"Brooklyn, NY",98000,C
Sold,5000,1993,Mercedes-Benz 300 d,"Greenwich, CT",80000,A
Sold,3700,2005,Mercedes-Benz clk-class CLK 320 Cabriolet 2D,"New Hyde Park, NY",126000,A
Sold,1650,1999,Mercedes-Benz e-class E 320 Sedan 4D,"Staten Island, NY",196000,A
Sold,3000,1999,Mercedes-Benz 230 slk kompressor,"Holmdel, NJ",130000,A
Pending,2500,1991,Mercedes-Benz 300 d Sedan 4D,"Woodhaven, NY",118000,A
Sold,4000,2000,Mercedes-Benz clk-class CLK 430 Coupe 2D,"Manchester, NJ",130000,A
Sold,4000,2003,Mercedes-Benz s-class S 430 Sedan 4D,"Springfield Gardens, NY",175000,A
Sold,10500,1999,Mercedes-Benz sl-class SL 500 Roadster 2D,"Hillsdale, NJ",49000,C
Sold,4000,1988,Mercedes-Benz 500 sel Sedan 4D,"Palisades Park, NJ",115000,A
Sold,9995,2001,Mercedes-Benz e-class E 320 Sedan 4D,"Lavallette, NJ",46000,B
Pending,5300,1995,Mercedes-Benz sl-class SL 500 Roadster 2D,"West Hempstead, NY",101000,B
Sold,19500,2014,Mercedes-Benz s-class S 550 Sedan 4D,"Flushing, NY",165000,D
Sold,2800,2006,Mercedes-Benz cls500 runs and drives good a/c,"Jamaica, NY",125000,A
Sold,3300,2001,Mercedes-Benz e-class E 320 Wagon 4D,"Hewlett, NY",134000,A
Sold,3500,1992,Mercedes-Benz 300 e 2.6 Sedan 4D,"Sayreville, NJ",109000,A
Sold,3700,1989,Mercedes-Benz 190 e 2.6 Sedan 4D,"Leonia, NJ",190000,A
Sold,4000,2008,Mercedes-Benz c-class C 300 4MATIC Luxury Sedan 4D,"Staten Island, NY",128000,A
Sold,1000,2001,Mercedes-Benz e-class E 430 Sedan 4D,"Glen Cove, NY",258000,A
Sold,3500,2005,Mercedes-Benz e-class E 320 4MATIC Sedan 4D,"Glen Oaks, NY",112000,A
Sold,2500,1981,Mercedes-Benz sl,"Elmont, NY",77000,A
Sold,2600,2005,Mercedes-Benz 748565569745039,"New York, NY",200000,A
Sold,2899,2003,Mercedes-Benz s-class S 500 Sedan 4D,"Jackson, NJ",162000,A
Sold,3500,2007,Mercedes-Benz e-class,"Woodbridge, NJ",165000,A
Sold,4300,2004,Mercedes-Benz s-class S 430 4MATIC Sedan 4D,"Newark, NJ",231000,A
Sold,1500,2001,Mercedes-Benz clk-class CLK 320 Coupe 2D,"Brooklyn, NY",210000,A
Sold,1800,2002,Mercedes-Benz clk-class CLK 430 Cabriolet 2D,"Bronx, NY",180000,A
Sold,13900,2015,Mercedes-Benz m-class ML 350 4MATIC Sport Utility 4D,"New York, NY",122000,C
Sold,2000,2008,Mercedes-Benz c-class C 300 4MATIC Sport Sedan 4D,"Elizabethport, NJ",138000,A
