Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,5800,2011,Mitsubishi outlander sport SE Sport Utility 4D,"Ridgewood, NY",104000,B
Sold,3200,2007,Mitsubishi outlander LS Sport Utility 4D,"Paterson, NJ",174000,A
Sold,8500,2016,Mitsubishi outlander sport SEL Sport Utility 4D,"Middletown, NY",81000,B
Sold,5800,2011,Mitsubishi outlander SE Sport Utility 4D,"Little Neck, NY",110000,B
Sold,5800,2013,Mitsubishi outlander sport ES Sport Utility 4D,"New York, NY",90000,B
Sold,1500,2010,Mitsubishi outlander ES Sport Utility 4D,"Montrose, NY",163000,A
Sold,2900,2010,Mitsubishi outlander SE Sport Utility 4D,"Huntington, NY",133000,A
Sold,4900,2009,Mitsubishi outlander XLS Sport Utility 4D,"Staten Island, NY",121000,A
Sold,6900,2018,Mitsubishi outlander ES Sport Utility 4D,"Scotch Plains, NJ",128000,B
Sold,5395,2018,Mitsubishi outlander SE Sport Utility 4D,"Brooklyn, NY",127000,B
Sold,1500,2007,Mitsubishi outlander LS Sport Utility 4D,"Freehold, NJ",107000,A
Sold,3800,2010,Mitsubishi outlander,"Bronx, NY",147000,A
Sold,4500,2003,Mitsubishi outlander XLS Sport Utility 4D,"Staten Island, NY",71000,A
Sold,4300,2010,Mitsubishi outlander SE Sport Utility 4D,"Central Islip, NY",132000,A
Sold,6200,2012,Mitsubishi outlander GT Sport Utility 4D,"Brooklyn, NY",163000,B
Sold,5550,2012,Mitsubishi outlander SE Sport Utility 4D,"Franklin Square, NY",136000,B
Sold,8950,2020,Mitsubishi outlander sport ES Sport Utility 4D,"Jersey City, NJ",146000,B
Sold,5900,2012,Mitsubishi outlander sport ES Sport Utility 4D,"East Elmhurst, NY",138000,B
Sold,3700,2008,Mitsubishi outlander XLS Sport Utility 4D,"Newark, NJ",177000,A
Sold,5500,2011,Mitsubishi outlander sport SE Sport Utility 4D,"Centereach, NY",147000,B
Sold,11500,2015,Mitsubishi outlander SE Sport Utility 4D,"Westbury, NY",85000,C
Sold,5900,2015,Mitsubishi outlander sport ES Sport Utility 4D,"Springfield Gardens, NY",117000,B
Sold,7000,2010,Mitsubishi outlander ES Sport Utility 4D,"Leonia, NJ",130000,B
