Contract,Price,Year,Make&Model,Location,Miles
Sold,1900,2008,Suzuki sx4 Sedan 4D,"Prospect Park, NJ",225000
Sold,2800,2009,Suzuki sx4 Hatchback 4D,"Brooklyn, NY",163000
Sold,3900,2009,Suzuki sx4 Hatchback 4D,"Southampton, PA",47000
Sold,3750,2007,Suzuki sx4 Other,"Hyattsville, MD",90000
Sold,2999,2011,Suzuki sx4 Hatchback 4D,"Hempstead, NY",173000
Sold,1200,2009,Suzuki sx4,"Manchester Center, VT",134000
Sold,1000,2010,Suzuki sx4 Hatchback 4D,"Chester, VA",186000
Pending,1500,2008,Suzuki sx4 Hatchback 4D,"Richmond, MA",155000
Sold,3200,2012,Suzuki sx4 Hatchback 4D,"Elizabeth, NJ",168000
Sold,1800,2008,Suzuki sx4 Sedan 4D,"Stroudsburg, PA",200000
Sold,2500,2007,Suzuki sx4 Hatchback Sedan 4D,"Morrisonville, NY",107000
Sold,2999,2009,Suzuki sx4 Hatchback 4D,"Newark, NJ",183000
Sold,1000,2009,Suzuki sx4 Hatchback 4D,"Montpelier, VT",130000
Sold,4800,2011,Suzuki sx4 Hatchback 4D,"Rochester, NY",92000
Pending,2000,2008,Suzuki sx4,"Pittsburgh, PA",91000
Sold,2500,2010,Suzuki sx4,"Pennsauken, NJ",107000
Sold,3600,2011,Suzuki sx4 LE Anniversary Edition Sedan 4D,"Piscataway, NJ",112000
Sold,1000,2008,Suzuki sx4,"Newport Center, VT",210000
Sold,4500,2012,Suzuki sx4 Hatchback 4D,"Roaring Spring, PA",97000
