Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,22000,2017,Audi q7 3.0T Premium Sport Utility 4D,"Monmouth Beach, NJ",80000,E
Sold,24000,2018,Audi q7 3.0T Premium Sport Utility 4D,"Carlstadt, NJ",46000,E
Pending,25900,2020,Audi q7 premium 55 tfsi quattro,"Hillside, NJ",89000,F
Sold,15995,2017,Audi q7 3.0T Premium Plus Sport Utility 4D,"Rutherford, NJ",160000,D
Sold,4800,2008,Audi q7 4.2 Quattro Premium Sport Utility 4D,"Franklin Square, NY",166000,A
Sold,3500,2008,Audi q7,"Jamaica, NY",156000,A
Sold,24000,2017,Audi q7 3.0T Premium Plus Sport Utility 4D,"Staten Island, NY",89000,E
Sold,5999,2010,Audi q7 3.6 Quattro Premium Sport Utility 4D,"Huntington, NY",140000,B
Sold,3300,2007,Audi q7,"Bronx, NY",190000,A
Sold,6750,2012,Audi q7 TDI Premium Sport Utility 4D,"Smithtown, NY",150000,B
Sold,4000,2008,Audi q7 4.2 Quattro Premium Sport Utility 4D,"Staten Island, NY",156000,A
Sold,17995,2017,Audi q7 3.0T Premium Plus Sport Utility 4D,"Upper Saddle River, NJ",125000,D
Sold,8390,2012,Audi q7 3.0T Quattro Premium Sport Utility 4D,"Yonkers, NY",197000,B
Sold,15000,2015,Audi q7 3.0T Premium Plus Sport Utility 4D,"South Amboy, NJ",69000,C
Sold,7500,2014,Audi q7 3.0T S line Prestige Sport Utility 4D,"Maplewood, NJ",79000,B
Sold,13999,2014,Audi q7 3.0T S line Prestige Sport Utility 4D,"Brooklyn, NY",113000,C
Sold,18950,2017,Audi q7 3.0T Premium Plus Sport Utility 4D,"Teaneck, NJ",126000,D
Sold,7350,2013,Audi q7 3.0T Premium Plus Sport Utility 4D,"Glen Gardner, NJ",175000,B
Sold,18950,2017,Audi q7 3.0T Premium Plus Sport Utility 4D,"Teaneck, NJ",126000,D
