Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,4800,2005,Chrysler pt cruiser GT Convertible 2D,"St James, NY",59000,A
Sold,1500,2002,Chrysler pt cruiser Limited Sport Wagon 4D,"Oakhurst, NJ",172000,A
Sold,1900,2009,Chrysler pt cruiser Touring Sport Wagon 4D,"Marlboro, NJ",87000,A
Sold,1200,2002,Chrysler pt cruiser Limited Sport Wagon,"Carteret, NJ",132000,A
Sold,1100,2001,Chrysler pt cruiser limited edition parts as is,"Manalapan, NJ",103000,A
Sold,3400,2005,Chrysler pt cruiser Touring Convertible 2D,"Staten Island, NY",115000,A
Sold,2300,2006,Chrysler pt cruiser,"Roselle, NJ",60000,A
Sold,1200,2007,Chrysler pt cruiser,"Lawrence, NJ",101000,A
Sold,1200,2007,Chrysler pt cruiser,"South Plainfield, NJ",68000,A
Sold,2700,2006,Chrysler pt cruiser Sport Wagon 4D,"Elizabeth, NJ",61000,A
Sold,1900,2008,Chrysler pt cruiser,"Bronx, NY",138000,A
Sold,7500,2007,Chrysler pt cruiser Touring Sport Wagon 4D,"Richmond Hill, NY",25000,B
Sold,4000,2005,Chrysler pt cruiser Touring Convertible 2D,"Piscataway, NJ",131000,A
Sold,2500,2006,Chrysler pt cruiser Limited Sport Wagon 4D,"Oakhurst, NJ",139000,A
Sold,1800,2009,Chrysler pt cruiser,"White Plains, NY",140000,A
