Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,1500,2000,Ford expedition Sport Utility 4D,"Plainfield, NJ",150000,A
Sold,2000,2004,Ford expedition XLT Sport SUV 4D,"Monroe, NY",193000,A
Sold,4000,2008,Ford expedition Limited Sport Utility 4D,"Belford, NJ",123000,A
Sold,2700,2007,Ford expedition Eddie Bauer Sport Utility 4D,"Edison, NJ",180000,A
Sold,3900,2006,Ford expedition Limited Sport Utility 4D,"New Rochelle, NY",93000,A
Sold,2000,2006,Ford expedition King Ranch Sport Utility 4D,"Stamford, CT",196000,A
Sold,4200,2007,Ford expedition XLT Sport Utility 4D,"Lodi, NJ",160000,A
Sold,3995,2007,Ford expedition XLT Sport Utility 4D,"Bronx, NY",121000,A
Sold,1000,2008,Ford expedition XLT Sport Utility 4D,"Ridgefield, NJ",300000,A
Sold,3000,2005,Ford expedition XLT Sport SUV 4D,"Orange, NJ",151000,A
Sold,3800,2009,Ford expedition,"Brentwood, NY",139000,A
Sold,5600,2007,Ford expedition el Limited Sport Utility 4D,"Jamaica, NY",131000,B
Sold,1999,2009,Ford expedition XLT Sport Utility 4D,"Toms River, NJ",95000,A
Sold,1500,2005,Ford expedition XLT Sport SUV 4D,"Oxford, NJ",111000,A
Sold,2700,2009,Ford expedition Limited Sport Utility 4D,"Clifton, NJ",200000,A
Sold,5500,2007,Ford expedition,"Baldwin, NY",145000,B
Sold,17900,2016,Ford expedition XLT Sport Utility 4D,"Matawan, NJ",99000,D
Sold,5000,2014,Ford expedition el limited,"Toms River, NJ",116000,A
Sold,6500,2008,Ford expedition XLT Sport Utility 4D,"Maspeth, NY",181000,B
