Contract,Price,Year,Make&Model,Location,Miles
Sold,6000,2018,Mazda cx-5,"Jersey City, NJ",60000
Sold,7000,2014,Mazda cx-5,"Old Bridge, NJ",140000
Sold,20000,2019,Mazda cx-5 Touring Sport Utility 4D,"Ridgefield, NJ",38000
Sold,16900,2020,Mazda cx-5 Touring AWD,"Valley Stream, NY",43000
Sold,14000,2016,Mazda cx-5,"Howard Beach, NY",40000
Sold,2000,2018,Mazda cx-5 Touring Sport Utility 4D,"Paterson, NJ",92000
Sold,10900,2016,Mazda cx-5 Touring Sport Utility 4D,"Fair Lawn, NJ",120000
Sold,5900,2014,Mazda cx-5 Touring Sport Utility 4D,"New York, NY",197000
Sold,21600,2020,Mazda cx-5 Touring AWD,"Bridgewater, NJ",59000
Sold,8900,2014,Mazda cx-5 Touring,"New York, NY",93000
Sold,8600,2014,Mazda cx-5 Sport SUV 4D,"Bronx, NY",89000
