Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,5500,2003,Mitsubishi eclipse GTS Spyder Convertible 2D,"Levittown, NY",73000,B
Sold,2300,2000,Mitsubishi eclipse GS Coupe 2D,"Middlesex, NJ",209000,A
Sold,3500,2006,Mitsubishi eclipse GS Coupe 2D,"Bound Brook, NJ",134000,A
Sold,3500,2006,Mitsubishi eclipse GS Coupe 2D,"Wall, NJ",114000,A
Sold,2500,2008,Mitsubishi eclipse GT Spyder Convertible 2D,"Piscataway, NJ",166000,A
Sold,2880,2012,Mitsubishi eclipse GS Sport Coupe 2D,"Mohegan Lake, NY",212000,A
Sold,1500,2006,Mitsubishi eclipse GT Coupe 2D,"Paterson, NJ",187000,A
Sold,3456,2007,Mitsubishi eclipse GS Coupe 2D,"Toms River, NJ",169000,A
Sold,2200,2009,Mitsubishi eclipse GS Coupe 2D,"Greensburg, PA",151000,A
Sold,3500,1998,Mitsubishi eclipse GS Spyder Convertible 2D,"Manheim, PA",136000,A
Sold,1000,1998,Mitsubishi eclipse GS Coupe 2D,"Mahanoy City, PA",175000,A
Sold,2000,2000,Mitsubishi eclipse RS Coupe 2D,"Trumbull, CT",146000,A
Sold,2250,1998,Mitsubishi eclipse GS Coupe 2D,"Milton, VT",138000,A
Sold,3999,1995,Mitsubishi eclipse GS-T Coupe 2D,"Middleboro, MA",164000,A
Sold,1234,1998,Mitsubishi eclipse GS-T Spyder Convertible 2D,"Cobleskill, NY",100000,A
Sold,4800,2002,Mitsubishi eclipse,"Newark, NJ",85000,A
Sold,2800,1997,Mitsubishi eclipse GS-T Coupe 2D,"Newtown, PA",224000,A
Pending,14500,1997,Mitsubishi eclipse GSX Coupe 2D,"Smithfield, VA",90000,C
Pending,4700,2009,Mitsubishi eclipse GS Coupe 2D,"Medford, NY",131000,A
Sold,2000,1999,Mitsubishi eclipse GS Spyder Convertible 2D,"Lockport, NY",111000,A
Sold,1234,1995,Mitsubishi eclipse GS Coupe 2D,"Mifflin, PA",175000,A
Sold,1250,2006,Mitsubishi eclipse GS Coupe 2D,"Dillsburg, PA",186000,A
Sold,1500,2002,Mitsubishi eclipse RS Coupe 2D,"Dundalk, MD",180000,A
Sold,4500,1999,Mitsubishi eclipse GS Coupe 2D,"Cherry Tree, PA",88000,A
Sold,2450,2000,Mitsubishi eclipse RS Coupe 2D,"Monroe, CT",140000,A
