Contract,Price,Year,Make&Model,Location,Miles
Sold,7995,2014,Nissan juke NISMO RS Sport Utility 4D,"Hackensack, NJ",158000
Sold,4300,2012,Nissan juke SV Sport Utility 4D,"Brooklyn, NY",185000
Sold,2600,2011,Nissan juke S Sport Utility 4D,"Uniondale, NY",190000
Sold,15300,2016,Nissan juke S,"College Point, NY",42000
Sold,15300,2016,Nissan juke,"College Point, NY",42000
Sold,5500,2012,Nissan juke SV Sport Utility 4D,"Elizabeth, NJ",160000
Sold,15300,2016,Nissan juke S Sport Utility 4D,"Flushing, NY",42000
Sold,5950,2012,Nissan juke SV Sport Utility 4D,"Brooklyn, NY",125000
Sold,15300,2016,Nissan juke s,"New York, NY",42000
Sold,17000,2014,Nissan juke SV Sport Utility 4D,"Union City, NJ",16000
Sold,7500,2011,Nissan juke SL Sport Utility 4D,"Caldwell, NJ",75000
