Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,1000,2007,Nissan murano SL Sport Utility 4D,"Pompton Lakes, NJ",103000,A
Sold,2300,2005,Nissan murano,"Bound Brook, NJ",205000,A
Sold,3500,2006,Nissan murano SL Sport Utility 4D,"Brooklyn, NY",142000,A
Sold,1500,2005,Nissan murano SL Sport Utility 4D,"Brentwood, NY",135000,A
Sold,1450,2003,Nissan murano,"Jersey City, NJ",118000,A
Sold,1700,2003,Nissan murano SE Sport Utility 4D,"Elizabeth, NJ",191000,A
Sold,1000,2004,Nissan murano SE Sport Utility 4D,"Bay Shore, NY",225000,A
Sold,1900,2007,Nissan murano SL Sport Utility 4D,"Ozone Park, NY",139000,A
Sold,2500,2008,Nissan murano,"Howell, NJ",190000,A
Sold,1500,2005,Nissan murano SL Sport Utility 4D,"Springfield, NJ",122000,A
Sold,2300,2005,Nissan murano,"Bound Brook, NJ",205000,A
Sold,2500,2007,Nissan murano SL Sport Utility 4D,"Jamaica, NY",200000,A
Sold,1600,2005,Nissan murano SL,"Clifton, NJ",190000,A
Sold,1800,2003,Nissan murano,"Hamburg, NJ",119000,A
Sold,9500,2012,Nissan murano CrossCabriolet Sport Utility 2D,"Pearl River, NY",63000,B
Sold,1500,2006,Nissan murano,"Jackson Heights, NY",82000,A
Sold,1500,2010,Nissan murano,"Plainfield, NJ",187000,A
Sold,2000,2007,Nissan murano SE Sport Utility 4D,"Monroe, NJ",131000,A
Sold,3400,2004,Nissan murano SL Sport Utility 4D,"New Brunswick, NJ",120000,A
Sold,30199,2023,Nissan murano SL Sport Utility 4D,"Bronx, NY",300,F
Sold,2550,2007,Nissan murano SL Sport Utility 4D,"College Point, NY",200000,A
Sold,3000,2010,Nissan murano,"Union, NJ",98000,A
Sold,6900,2011,Nissan murano SL Sport Utility 4D,"Elmwood Park, NJ",124000,B
Sold,3200,2007,Nissan murano Sl,"Ridgewood, NY",137000,A
Sold,2500,2004,Nissan murano SL Sport Utility 4D,"Maspeth, NY",173000,A
Sold,2500,2007,Nissan murano SL Sport Utility 4D,"Teaneck, NJ",164000,A
Sold,2500,2009,Nissan murano SL Sport Utility 4D,"Paterson, NJ",196000,A
Sold,1800,2009,Nissan murano SL Sport Utility 4D,"East Orange, NJ",186000,A
Pending,2200,2006,Nissan murano SL Sport Utility 4D,"Ronkonkoma, NY",167000,A
Sold,3500,2005,Nissan murano SE Sport Utility 4D,"Newark, NJ",123000,A
Sold,4890,2009,Nissan murano SL Sport Utility 4D,"Corona, NY",85000,A
Sold,5500,2003,Nissan murano SL Sport Utility 4D,"Harrison, NJ",64000,B
Sold,2900,2007,Nissan murano,"New Brunswick, NJ",163000,A
Sold,1500,2007,Nissan murano,"Central Islip, NY",2000,A
Sold,2450,2010,Nissan murano S Sport Utility 4D,"Brooklyn, NY",241000,A
Sold,2800,2006,Nissan murano,"Union, NJ",175000,A
Sold,6000,2009,Nissan murano 4dr sl awd,"Astoria, NY",84000,B
Sold,2000,2009,Nissan murano SL Sport Utility 4D,"Long Island City, NY",184000,A
