Contract,Price,Year,Make&Model,Location,Miles
Sold,3995,2013,Volvo xc60 3.2 Sport Utility 4D,"Manalapan, NJ",193000
Sold,6500,2010,Volvo xc60 T6 Sport Utility 4D,"Teaneck, NJ",110000
Sold,3200,2010,Volvo xc60 T6 Sport Utility 4D,"Old Bridge, NJ",160000
Sold,4200,2010,Volvo xc60 T6 Sport Utility 4D,"New York, NY",160000
Sold,18000,2016,Volvo xc60 T5 Premier Sport Utility 4D,"Warren, NJ",63000
Sold,2700,2011,Volvo xc60 3.2 Sport Utility 4D,"Stirling, NJ",230000
Sold,5500,2012,Volvo xc60 3.2 Sport Utility 4D,"Lakewood, NJ",149000
Sold,8490,2010,Volvo xc60 T6 Sport Utility 4D,"Teaneck, NJ",120000
Sold,7900,2014,Volvo xc60 T6 Sport Utility 4D,"Perth Amboy, NJ",167000
Sold,4495,2011,Volvo xc60 3.2 Sport Utility 4D,"Basking Ridge, NJ",165000
