Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,1100,2008,Volvo xc90 3.2 Sport Utility 4D,"New York, NY",160000,A
Sold,34500,2020,Volvo xc90,"West Long Branch, NJ",43000,F
Sold,25500,2016,Volvo xc90 T8 Momentum Sport Utility 4D,"New York, NY",98000,F
Sold,6895,2011,Volvo xc90,"Brooklyn, NY",124000,B
Sold,28500,2018,Volvo xc90 T6 Momentum Sport Utility 4D,"Smithtown, NY",64000,F
Sold,6995,2011,Volvo xc90 3.2 r design awd 4dr suv,"Inwood, NY",153000,B
Sold,2499,2004,Volvo xc90,"Bronx, NY",166000,A
Sold,3500,2004,Volvo xc90 2.5T Sport Utility 4D,"New York, NY",165000,A
Sold,2250,2009,Volvo xc90 3.2 Sport Utility 4D,"Brooklyn, NY",139000,A
Sold,3900,2007,Volvo xc90,"New York, NY",137000,A
Sold,8000,2013,Volvo xc90 3.2 R-Design Sport Utility 4D,"Colts Neck, NJ",160000,B
Sold,1350,2005,Volvo xc90 2.5T Sport Utility 4D,"Stamford, CT",230000,A
Sold,5500,2014,Volvo xc90 3.2 Sport Utility 4D,"Teaneck, NJ",159000,B
Sold,5500,2011,Volvo xc90 3.2 Sport Utility 4D,"Thornwood, NY",159000,B
Sold,5000,2009,Volvo xc90,"Newark, NJ",156000,A
Sold,6995,2011,Volvo xc90 3.2 R-Design Sport Utility 4D,"Richmond Hill, NY",153000,B
